
OrderId,OrderDate,UserId,TotalCharges,CommonId,PupId,PickupDate
262,11/1/2009,47,$ 50.67,TRQKD,2,12/1/2009
278,20/1/2009,47,$ 26.60,4HH2S,3,20/1/2009
294,3/2/2009,47,$ 38.71,3TRDC,2,4/2/2009
301,6/2/2009,47,$ 53.38,NGAZJ,2,9/2/2009
302,6/2/2009,47,$ 14.28,FFYHD,2,9/2/2009
321,17/2/2009,47,$ 29.50,HA5R3,3,17/2/2009
333,23/2/2009,47,$ 18.91,RSXQG,2,23/2/2009
341,1/3/2009,47,$ 64.41,KHBDJ,3,3/3/2009
353,9/3/2009,47,$ 18.03,T7SUN,3,10/3/2009
373,17/3/2009,47,$ 25.55,KMF5X,3,17/3/2009
376,17/3/2009,47,$ 13.64,R57V3,3,19/3/2009
386,24/3/2009,47,$ 47.83,CSH73,3,24/3/2009
398,31/3/2009,47,$ 42.14,3VYSW,3,31/3/2009
431,14/4/2009,47,$ 21.73,XG5NT,3,14/4/2009
441,16/4/2009,47,$ 21.73,JKME3,3,16/4/2009
467,23/4/2009,47,$ 17.97,WVGR5,3,23/4/2009
493,28/4/2009,47,$ 28.85,ARYQJ,3,28/4/2009
494,28/4/2009,47,$ 7.15,QAM9C,3,28/4/2009
517,1/5/2009,47,$ 57.75,CGHAJ,5,1/5/2009
525,4/5/2009,47,$ 40.98,MCDJE,3,5/5/2009
567,12/5/2009,47,$ 14.93,NPVQQ,3,14/5/2009
575,14/5/2009,47,$ 14.32,2T727,3,14/5/2009
598,19/5/2009,47,$ 40.76,ZNDAZ,3,19/5/2009
635,26/5/2009,47,$ 83.41,V8TCD,3,26/5/2009
664,1/6/2009,47,$ 47.39,N2MN4,3,2/6/2009
688,5/6/2009,47,$ 16.76,SQ7AG,5,5/6/2009
720,12/6/2009,47,$ 26.71,VVJMZ,3,16/6/2009
732,16/6/2009,47,$ 18.66,NHPKJ,3,16/6/2009
775,23/6/2009,47,$ 46.65,YGFQ6,4,23/6/2009
828,2/7/2009,47,$ 20.27,XJMBR,6,2/7/2009
838,6/7/2009,47,$ 44.88,J23JH,3,7/7/2009
848,8/7/2009,47,$ 17.61,%%848,6,9/7/2009
878,13/7/2009,47,$ 23.15,VLQ77,3,14/7/2009
916,19/7/2009,47,$ 71.09,F72ZW,4,21/7/2009
947,24/7/2009,47,$ 50.66,3TP9K,5,24/7/2009
978,30/7/2009,47,$ 69.11,DBZ6E,4,30/7/2009
979,30/7/2009,47,$ 41.00,58SYL,4,30/7/2009
1033,10/8/2009,47,$ 51.42,CM6L8,4,11/8/2009
1034,10/8/2009,47,$ 14.76,HVXWJ,4,11/8/2009
1037,10/8/2009,47,$ 15.64,AEBZD,4,11/8/2009
1075,18/8/2009,47,$ 12.96,JHBNK,4,18/8/2009
1111,25/8/2009,47,$ 50.29,2GGH5,4,25/8/2009
1112,25/8/2009,47,$ 4.09,NLKBN,4,25/8/2009
1119,25/8/2009,47,$ 3.08,9N4VG,4,25/8/2009
1152,28/8/2009,47,$ 66.25,ZZU7D,5,28/8/2009
1154,28/8/2009,47,$ 7.56,2JMWF,5,28/8/2009
1168,2/9/2009,47,$ 70.13,6NXDE,4,3/9/2009
1179,3/9/2009,47,$ 12.27,6APEY,6,3/9/2009
1197,7/9/2009,47,$ 106.89,AAN8Z,4,8/9/2009
1262,17/9/2009,47,$ 92.51,4FMPS,5,18/9/2009
1279,21/9/2009,47,$ 40.13,3VX2D,4,24/9/2009
1333,29/9/2009,47,$ 61.74,CWNDD,4,1/10/2009
1363,5/10/2009,47,$ 51.78,HR52A,4,6/10/2009
1400,11/10/2009,47,$ 3.74,J3C69,3,13/10/2009
1466,20/10/2009,47,$ 40.11,ND8EH,4,20/10/2009
1525,26/10/2009,47,$ 45.48,MG664,4,27/10/2009
1614,5/11/2009,47,$ 41.78,BPM84,4,5/11/2009
1740,12/11/2009,47,$ 23.10,C39Z5,4,12/11/2009
1803,17/11/2009,47,$ 48.25,UX8D5,4,18/11/2009
1813,18/11/2009,47,$ 5.00,AVRXH,4,18/11/2009
1888,29/11/2009,47,$ 60.14,FVLDA,4,30/11/2009
1950,6/12/2009,47,$ 70.72,5K5WS,4,7/12/2009
2049,14/12/2009,47,$ 172.53,HRKLH,4,15/12/2009
2191,3/1/2010,47,$ 62.35,KWXTB,4,4/1/2010
2204,4/1/2010,47,$ 18.39,W3T85,4,4/1/2010
2451,24/1/2010,47,$ 52.03,Y65RC,18,25/1/2010
2579,31/1/2010,47,$ 47.63,J5QKP,18,1/2/2010
2580,31/1/2010,47,$ 23.63,GACF2,18,1/2/2010
2593,1/2/2010,47,$ 6.64,PKE4X,18,1/2/2010
2873,16/2/2010,47,$ 79.91,G8QYA,9,17/2/2010
2953,22/2/2010,47,$ 51.15,CC6TG,18,22/2/2010
2997,23/2/2010,47,$ 27.97,ZCSXX,15,26/2/2010
3037,25/2/2010,47,$ 15.50,HG86F,15,26/2/2010
3082,1/3/2010,47,$ 48.15,P98FG,18,1/3/2010
3109,2/3/2010,47,$ 34.13,4PFP8,3,2/3/2010
3178,5/3/2010,47,$ 7.22,GWR53,15,5/3/2010
360,10/3/2009,95,$ 7.47,FTM95,3,10/3/2009
414,7/4/2009,95,$ 3.68,ARQ3F,3,9/4/2009
292,29/1/2009,98,$ 16.96,ZLNHR,3,29/1/2009
316,16/2/2009,98,$ 6.74,GYTPJ,2,16/2/2009
344,3/3/2009,98,$ 3.68,FUUH8,2,4/3/2009
375,17/3/2009,98,$ 4.09,N88FP,3,24/3/2009
377,18/3/2009,98,$ 3.59,C6T6S,3,19/3/2009
378,18/3/2009,98,$ 3.59,E745K,3,19/3/2009
403,1/4/2009,98,$ 2.03,SU6DX,3,2/4/2009
421,10/4/2009,98,$ 3.59,X5ZJG,3,16/4/2009
422,10/4/2009,98,$ 5.11,D2CJG,5,17/4/2009
527,5/5/2009,98,$ 3.59,%%527,3,5/5/2009
276,19/1/2009,112,$ 17.76,ALMYV,3,20/1/2009
1765,13/11/2009,141,$ 30.87,Z8UXB,5,13/11/2009
2830,14/2/2010,147,$ 23.26,P3TFZ,6,18/2/2010
2030,13/12/2009,160,$ 37.46,83AUQ,4,14/12/2009
2284,10/1/2010,160,$ 65.09,VRHJ2,4,12/1/2010
2724,8/2/2010,177,$ 44.79,AR6KK,7,9/2/2010
2742,9/2/2010,177,$ 41.69,K4XER,7,9/2/2010
603,19/5/2009,180,$ 66.21,55HUW,4,21/5/2009
1276,21/9/2009,180,$ 46.05,SVJDZ,4,22/9/2009
285,27/1/2009,182,$ 291.64,HJKAY,3,27/1/2009
2911,18/2/2010,182,$ 390.07,SX8NP,15,19/2/2010
2987,22/2/2010,182,$ 79.44,F95QZ,3,23/2/2010
3158,4/3/2010,182,$ 260.12,KP8F9,15,5/3/2010
3219,8/3/2010,182,$ 270.14,NN5EG,15,8/3/2010
410,7/4/2009,200,$ 29.80,EA2CB,3,7/4/2009
578,14/5/2009,200,$ 6.26,RSXPW,3,21/5/2009
884,13/7/2009,200,$ 2.24,QSVQH,3,14/7/2009
995,2/8/2009,200,$ 13.67,Z5N3E,5,7/8/2009
1402,12/10/2009,200,$ 13.58,8MNCV,3,13/10/2009
1454,19/10/2009,200,$ 6.54,WPT5K,3,20/10/2009
2387,18/1/2010,200,$ 7.44,AUXH3,15,18/1/2010
385,22/3/2009,202,$ 101.83,GQ4BY,4,24/3/2009
416,8/4/2009,202,$ 206.32,LEFC5,4,9/4/2009
504,30/4/2009,202,$ 142.04,DYHKW,4,30/4/2009
526,5/5/2009,202,$ 111.41,GF7X7,4,5/5/2009
561,12/5/2009,202,$ 96.14,QMK96,4,12/5/2009
607,20/5/2009,202,$ 162.41,D2FFR,4,21/5/2009
643,27/5/2009,202,$ 144.73,Q7SX8,4,28/5/2009
673,3/6/2009,202,$ 81.82,78V2J,4,4/6/2009
799,29/6/2009,202,$ 208.52,GY9K5,4,30/6/2009
1041,11/8/2009,202,$ 142.86,ZGVP3,4,11/8/2009
1085,20/8/2009,202,$ 230.71,VN5CM,4,20/8/2009
1158,1/9/2009,202,$ 164.30,FPWM2,4,1/9/2009
1205,8/9/2009,202,$ 243.93,5WDD3,4,8/9/2009
1425,15/10/2009,202,$ 173.65,R5D99,4,15/10/2009
1457,19/10/2009,202,$ 87.65,QALA2,11,21/10/2009
1535,27/10/2009,202,$ 206.29,4AKAR,11,28/10/2009
1600,4/11/2009,202,$ 115.95,JJMGA,11,4/11/2009
1689,11/11/2009,202,$ 216.39,J47X2,11,11/11/2009
1814,18/11/2009,202,$ 158.94,U68KQ,11,18/11/2009
2496,26/1/2010,202,$ 161.77,S9NWW,4,26/1/2010
265,13/1/2009,207,$ 32.96,MZ562,3,13/1/2009
279,20/1/2009,207,$ 24.24,UMUAD,3,20/1/2009
299,5/2/2009,207,$ 22.60,LBM3R,3,5/2/2009
312,12/2/2009,207,$ 55.40,S4LPV,3,12/2/2009
313,12/2/2009,207,$ 3.02,69ZDJ,3,12/2/2009
326,19/2/2009,207,$ 28.29,XVXS3,3,19/2/2009
327,19/2/2009,207,$ 2.65,D8KLE,3,19/2/2009
328,19/2/2009,207,$ 2.80,BJLRA,3,19/2/2009
338,26/2/2009,207,$ 29.22,2HJA7,3,26/2/2009
339,26/2/2009,207,$ 28.34,4P2HZ,3,26/2/2009
357,10/3/2009,207,$ 17.81,L4RPU,4,10/3/2009
370,17/3/2009,207,$ 45.30,NEMEB,4,17/3/2009
388,24/3/2009,207,$ 39.30,Q2LQ7,4,24/3/2009
430,14/4/2009,207,$ 14.42,TEHSY,4,14/4/2009
466,23/4/2009,207,$ 28.17,9FYMW,4,23/4/2009
569,14/5/2009,207,$ 38.95,C6428,4,14/5/2009
612,21/5/2009,207,$ 31.77,7LEMS,4,21/5/2009
649,28/5/2009,207,$ 34.24,JP57U,4,28/5/2009
676,4/6/2009,207,$ 41.12,9EA7H,4,4/6/2009
